CC Number,Date,Time,Accident Type,New Georeferenced Column
19CS00072041,4/12/2019,4/12/2019 19:45,Injury Crash,"(38.98807, -76.35499)"
19CS00082980,4/28/2019,4/29/2019 1:46,Injury Crash,"(39.244952, -76.577341)"
20CS00058239,4/10/2020,4/14/2020 7:46,Injury Crash,"(39.270763, -76.655791)"
20CS00308472,5/15/2020,5/18/2020 11:15,Property Damage Crash,"(39.00975549, -76.40438973)"
20CS00070807,4/29/2020,5/2/2020 13:57,Property Damage Crash,"(39.25679064, -76.56957327)"
20CS00105989,6/26/2020,6/26/2020 13:01,Injury Crash,"(39.29423, -76.53154)"
20CS00104071,6/23/2020,6/24/2020 12:14,Property Damage Crash,"(39.2534, -76.5716)"
20CS00038781,3/9/2020,3/10/2020 5:22,Property Damage Crash,"(39.29283717, -76.55309824)"
P2000024408,4/23/2020,4/24/2020 19:14,Property Damage Crash,"(39.1862299, -76.68799742)"
20B000264,6/1/2020,6/1/2020 8:38,Property Damage Crash,"(39.18369726, -76.67119713)"
20IR000474,5/4/2020,5/7/2020 1:49,Property Damage Crash,"(39.12788398, -77.12028346)"
20CS00099925,6/16/2020,6/17/2020 12:29,Property Damage Crash,"(39.2846848, -76.5353104)"
20CS00110505,7/3/2020,7/3/2020 16:18,Property Damage Crash,"(38.36268, -76.9632)"
20CS00118175,7/16/2020,7/18/2020 5:35,Property Damage Crash,"(39.07619522, -76.90696919)"
20CS00039261,3/10/2020,3/29/2020 10:30,Property Damage Crash,"(39.267, -76.66494)"
20CS00074786,5/6/2020,5/6/2020 12:30,Property Damage Crash,"(39.281244, -76.55158)"
